Location,Indicator,Subject,Measure,Frequency,Time,Value,Flag Codes
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-01,100.2096,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-02,100.1315,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-03,100.1785,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-04,100.4184,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-05,100.822,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-06,101.2216,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-07,101.1619,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-08,100.8599,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-09,100.6135,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-10,100.6784,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-11,101.0045,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-12,101.1718,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-01,101.0265,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-02,100.6838,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-03,100.4185,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-04,100.1577,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-05,99.91643,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-06,99.69032,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-07,99.52659,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-08,99.269,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-09,98.91972,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-10,98.72697,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-11,98.4582,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-12,98.32918,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-01,98.70628,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-02,99.15945,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-03,99.50099,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-04,99.72899,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-05,99.99719,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-06,100.2171,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-07,100.4129,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-08,100.5015,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-09,100.5778,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-10,100.5721,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-11,100.456,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-12,100.1356,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-01,99.87869,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-02,99.41753,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-03,98.48895,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-04,97.60699,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-05,97.71711,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-06,98.38781,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-07,98.88987,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-08,99.05496,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-09,98.9435,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-10,98.56629,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-11,98.27914,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-12,98.45207,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2021-01,98.53881,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2021-02,98.77287,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2021-03,99.37284,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2021-04,100.0818,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2021-05,100.955,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2021-06,101.5942,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2021-07,101.5773,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2021-08,101.2919,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2021-09,101.1305,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2021-10,100.8132,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2021-11,100.4838,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2021-12,100.0927,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2022-01,99.61243,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2022-02,98.83447,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2022-03,97.65123,
